id,tm_r_sc,pos1_r_sc,pos2_r_sc,pos3_r_sc,pos4_r_sc,pos5_r_sc,tm_d_sc,pos1_d_sc,pos2_d_sc,pos3_d_sc,pos4_d_sc,pos5_d_sc,a_result
185,1.92307692307692,1.92307692307692,1.92307692307692,0.923076923076923,2.25641025641026,1.72307692307692,2.08474576271186,3.08474576271186,3.08474576271186,2.4180790960452,2.4180790960452,2.79903147699758,0
186,1.92307692307692,0.923076923076923,0.923076923076923,1.92307692307692,0.923076923076923,1.72307692307692,1.57142857142857,2.57142857142857,1.57142857142857,1.9047619047619,1.9047619047619,2.57142857142857,0
187,2.08474576271186,3.08474576271186,2.08474576271186,2.4180790960452,2.08474576271186,2.79903147699758,1.92307692307692,0.923076923076923,2.25641025641026,1.92307692307692,0.923076923076923,1.72307692307692,1
188,1.83720930232558,1.83720930232558,2.83720930232558,2.83720930232558,1.83720930232558,1.83720930232558,1.94117647058824,0.941176470588235,1.27450980392157,0.941176470588235,0.941176470588235,1.94117647058824,1
189,1.83720930232558,1.50387596899225,2.83720930232558,1.83720930232558,1.50387596899225,1.63720930232558,1.94117647058824,1.94117647058824,1.94117647058824,0.941176470588235,1.94117647058824,0.941176470588235,1
190,1.95238095238095,2.15238095238095,1.61904761904762,1.75238095238095,0.952380952380952,1.45238095238095,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.1025641025641,3.76923076923077,0
191,1.95238095238095,1.95238095238095,2.50793650793651,1.95238095238095,0.952380952380952,0.952380952380952,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,0
192,2.0,2.0,2.0,2.2,2.14285714285714,3.0,2.0,1.0,2.0,1.0,2.11111111111111,2.14285714285714,1
193,1.92307692307692,0.923076923076923,0.923076923076923,2.25641025641026,2.25641025641026,1.92307692307692,2.42857142857143,3.42857142857143,3.42857142857143,3.02857142857143,3.42857142857143,3.42857142857143,0
194,1.92307692307692,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,0.923076923076923,2.42857142857143,3.42857142857143,3.42857142857143,3.42857142857143,2.92857142857143,3.42857142857143,0
