id,tm_r_str,pos1_r_str,pos2_r_str,pos3_r_str,pos4_r_str,pos5_r_str,tm_d_str,pos1_d_str,pos2_d_str,pos3_d_str,pos4_d_str,pos5_d_str,a_result,match_timestamp
31,Evil Geniuses,Arteezy:np,gpk:sto,RAMZES666:doom,Cr1t-:wr,Fly:om,Team Nigma,Miracle-:emb,w33:bat,MinD_ContRoL:ds,GH:rub,rmN-:ud,0,
32,Team Nigma,Miracle-:urs,w33:mag,MinD_ContRoL:sld,GH:phx,rmN-:dis,Evil Geniuses,Arteezy:cli,gpk:vspr,RAMZES666:doom,Cr1t-:rub,Fly:ench,0,
33,Vikin.gg,Shad’:jug,BOOM:tin,Tobi:mir,mars:sb,Seleri:io,Team Liquid,miCKe:morp,qojqva:vspr,Boxi:mars,Taiga:phx,iNSaNiA:bane,1,
34,Vikin.gg,Shad’:spe,BOOM:bat,Tobi:doom,mars:sb,Seleri:io,Team Liquid,miCKe:dr,qojqva:sto,Boxi:puck,Taiga:tin,iNSaNiA:vs,0,
35,Vikin.gg,Shad’:sv,BOOM:mag,Tobi:sld,mars:rub,Seleri:snf,Team Liquid,miCKe:rik,qojqva:zeus,Boxi:ds,Taiga:esp,iNSaNiA:gs,1,
36,Team Nigma,Miracle-:inv,w33:tin,MinD_ContRoL:tp,GH:phx,rmN-:chen,5men,Ace:urs,Chessie:bro,Xibbe:doom,MISERY:mir,pieliedie:np,0,
37,5men,Ace:pl,Chessie:np,Xibbe:pan,MISERY:phx,pieliedie:cw,Team Nigma,Miracle-:aw,w33:qop,MinD_ContRoL:sk,GH:rub,rmN-:vs,0,
38,5men,Ace:tw,Chessie:puck,Xibbe:veno,MISERY:tin,pieliedie:np,Team Nigma,Miracle-:med,w33:bat,MinD_ContRoL:ul,GH:rub,rmN-:vs,0,
39,FlyToMoon,V-Tune:dr,Iceberg:kunk,GeneRaL:bat,RodjER:rub,ALWAYSWANNAFLY:vs,OG,MidOne:gyro,Topson:tin,Ceb:bst,Saksa:et,Notail:aba,0,
40,FlyToMoon,V-Tune:tb,Iceberg:tin,GeneRaL:cw,RodjER:rub,ALWAYSWANNAFLY:bat,OG,MidOne:rik,Topson:inv,Ceb:mag,Saksa:sv,Notail:aba,0,
41,Alliance,Nikobaby:am,Limmp:dk,s4:ds,Handsken:tin,fng:dis,5men,Ace:fv,Chessie:qop,Xibbe:slk,MISERY:phx,pieliedie:ora,1,
42,Alliance,Nikobaby:sv,Limmp:bat,s4:ds,Handsken:doom,fng:jak,5men,Ace:aw,Chessie:puck,Xibbe:ul,MISERY:rub,pieliedie:vs,0,
43,Alliance,Nikobaby:tb,Limmp:vspr,s4:mars,Handsken:phx,fng:gs,5men,Ace:aw,Chessie:emb,Xibbe:doom,MISERY:mir,pieliedie:vs,0,
44,Vikin.gg,Shad’:spe,BOOM:dk,Tobi:veno,mars:et,Seleri:ench,Team Secret,MATUMBAMAN:np,Nisha:vis,zai:sk,YapzOr:tp,Puppey:mir,0,
45,Vikin.gg,Shad’:fv,BOOM:mag,Tobi:nec,mars:sb,Seleri:io,Team Secret,MATUMBAMAN:dr,Nisha:emb,zai:omni,YapzOr:wr,Puppey:wl,0,
46,FlyToMoon,V-Tune:ls,Iceberg:tin,GeneRaL:mir,RodjER:et,ALWAYSWANNAFLY:ora,Ninjas in Pyjamas,CharlieDota:spe,Supream^:inv,SabeRLight-:ds,Era:sb,Misha:jak,1,
47,FlyToMoon,V-Tune:morp,Iceberg:doom,GeneRaL:vis,RodjER:cw,ALWAYSWANNAFLY:gs,Ninjas in Pyjamas,CharlieDota:ls,Supream^:inv,SabeRLight-:eni,Era:rub,Misha:wd,1,
48,Virtus.pro,iLTW:lyc,Noone:np,Resolut1on:ds,Zayac:esp,Solo:sd,5men,Ace:fv,Chessie:bat,Xibbe:doom,MISERY:puck,pieliedie:ora,1,
49,Virtus.pro,iLTW:dr,Noone:tin,Resolut1on:doom,Zayac:phx,Solo:sd,5men,Ace:med,Chessie:vspr,Xibbe:bst,MISERY:rub,pieliedie:vs,1,
50,Team Liquid,miCKe:slk,qojqva:lin,Boxi:doom,Taiga:rub,iNSaNiA:io,Ninjas in Pyjamas,CharlieDota:lun,Supream^:np,SabeRLight-:bat,Era:cw,Misha:vs,0,
51,Team Liquid,miCKe:wea,qojqva:bro,Boxi:cent,Taiga:dw,iNSaNiA:cm,Ninjas in Pyjamas,CharlieDota:dr,Supream^:ta,SabeRLight-:ul,Era:cw,Misha:vs,0,
52,Natus Vincere,Crystallize:alc,Allison:emb,9pasha:omni,Immersion:et,illias:ora,Evil Geniuses,Arteezy:urs,gpk:sto,RAMZES666:mag,Cr1t-:lion,Fly:ench,1,
53,Natus Vincere,Crystallize:dr,Allison:emb,9pasha:veno,Immersion:sb,illias:wl,Evil Geniuses,Arteezy:tb,gpk:kunk,RAMZES666:mag,Cr1t-:rub,Fly:kotl,1,
54,FlyToMoon,V-Tune:tb,Iceberg:tin,GeneRaL:pan,RodjER:ss,ALWAYSWANNAFLY:vs,Team Secret,MATUMBAMAN:fv,Nisha:aw,zai:ul,YapzOr:rub,Puppey:io,0,
55,FlyToMoon,V-Tune:dr,Iceberg:doom,GeneRaL:cw,RodjER:rub,ALWAYSWANNAFLY:bane,Team Secret,MATUMBAMAN:sv,Nisha:sld,zai:np,YapzOr:wr,Puppey:io,0,
56,Virtus.pro,iLTW:emb,Noone:dp,Resolut1on:ds,Zayac:esp,Solo:ora,Team Nigma,Miracle-:ls,w33:bat,MinD_ContRoL:sld,GH:rub,rmN-:vs,1,
57,Virtus.pro,iLTW:io,Noone:tin,Resolut1on:bst,Zayac:wr,Solo:aba,Team Nigma,Miracle-:dr,w33:vipe,MinD_ContRoL:ud,GH:phx,rmN-:cw,0,
58,Team Nigma,Miracle-:fv,w33:vipe,MinD_ContRoL:mag,GH:rub,rmN-:kotl,Virtus.pro,iLTW:spe,Noone:inv,Resolut1on:ds,Zayac:et,Solo:ench,1,
59,Alliance,Nikobaby:sv,Limmp:jak,s4:ul,Handsken:lin,fng:io,Evil Geniuses,Arteezy:aw,gpk:vspr,RAMZES666:doom,Cr1t-:tusk,Fly:gs,0,
60,Alliance,Nikobaby:sv,Limmp:dp,s4:cent,Handsken:rub,fng:io,Evil Geniuses,Arteezy:aw,gpk:emb,RAMZES666:nec,Cr1t-:tusk,Fly:wl,0,
61,Natus Vincere,Crystallize:alc,Allison:sto,9pasha:ns,Immersion:rub,illias:wl,Alliance,Nikobaby:fv,Limmp:qop,s4:ds,Handsken:cw,fng:ora,0,
62,Natus Vincere,Crystallize:dr,Allison:puck,9pasha:veno,Immersion:sb,illias:vs,Alliance,Nikobaby:fv,Limmp:emb,s4:tim,Handsken:mir,fng:sd,0,
63,FlyToMoon,V-Tune:ls,Iceberg:zeus,GeneRaL:bst,RodjER:es,ALWAYSWANNAFLY:jak,Team Liquid,miCKe:sv,qojqva:sto,Boxi:ds,Taiga:tin,iNSaNiA:aa,0,
64,FlyToMoon,V-Tune:am,Iceberg:hus,GeneRaL:tide,RodjER:rub,ALWAYSWANNAFLY:ud,Team Liquid,miCKe:fv,qojqva:ta,Boxi:puck,Taiga:sk,iNSaNiA:wl,0,
65,Team Secret,MATUMBAMAN:am,Nisha:wr,zai:bs,YapzOr:tin,Puppey:wd,OG,MidOne:hus,Topson:dr,Ceb:ds,Saksa:sb,Notail:ora,1,
66,Team Secret,MATUMBAMAN:ls,Nisha:wr,zai:bs,YapzOr:rub,Puppey:chen,OG,MidOne:hus,Topson:inv,Ceb:et,Saksa:gs,Notail:ora,1,
67,OG,MidOne:ls,Topson:emb,Ceb:bs,Saksa:wr,Notail:rub,Team Liquid,miCKe:dr,qojqva:dk,Boxi:mars,Taiga:phx,iNSaNiA:cm,0,
68,OG,MidOne:tw,Topson:mk,Ceb:mag,Saksa:rub,Notail:ud,Team Liquid,miCKe:fv,qojqva:doom,Boxi:sk,Taiga:puck,iNSaNiA:wl,0,
69,Natus Vincere,Crystallize:tb,Allison:puck,9pasha:ds,Immersion:sb,illias:ora,Team Nigma,Miracle-:am,w33:wr,MinD_ContRoL:mag,GH:phx,rmN-:wd,0,
70,Natus Vincere,Crystallize:dr,Allison:tin,9pasha:ds,Immersion:et,illias:ora,Team Nigma,Miracle-:am,w33:qop,MinD_ContRoL:sk,GH:phx,rmN-:wd,0,
71,Evil Geniuses,Arteezy:sv,gpk:sto,RAMZES666:bs,Cr1t-:tin,Fly:ench,Virtus.pro,iLTW:urs,Noone:dk,Resolut1on:ds,Zayac:esp,Solo:wl,0,
72,Virtus.pro,iLTW:dr,Noone:dp,Resolut1on:phx,Zayac:esp,Solo:tp,Evil Geniuses,Arteezy:cli,gpk:emb,RAMZES666:np,Cr1t-:es,Fly:ench,0,
73,Virtus.pro,iLTW:spe,Noone:inv,Resolut1on:phx,Zayac:esp,Solo:sd,Evil Geniuses,Arteezy:cli,gpk:emb,RAMZES666:lyc,Cr1t-:rub,Fly:ench,1,
74,FlyToMoon,V-Tune:tb,Iceberg:inv,GeneRaL:bat,RodjER:tin,ALWAYSWANNAFLY:ora,Ninjas in Pyjamas,CharlieDota:jug,Supream^:morp,SabeRLight-:veno,Era:rub,Misha:wl,1,
75,FlyToMoon,V-Tune:tb,Iceberg:doom,GeneRaL:bat,RodjER:esp,ALWAYSWANNAFLY:ora,Ninjas in Pyjamas,CharlieDota:sv,Supream^:qop,SabeRLight-:aba,Era:rub,Misha:wl,1,
76,FlyToMoon,V-Tune:pl,Iceberg:inv,GeneRaL:bat,RodjER:tin,ALWAYSWANNAFLY:ora,Alliance,Nikobaby:slk,Limmp:dp,s4:tim,Handsken:esp,fng:jak,1,
77,FlyToMoon,V-Tune:ls,Iceberg:inv,GeneRaL:pan,RodjER:tin,ALWAYSWANNAFLY:bat,Alliance,Nikobaby:wea,Limmp:vsp,s4:ds,Handsken:esp,fng:ora,0,
78,FlyToMoon,V-Tune:sv,Iceberg:inv,GeneRaL:ul,RodjER:tin,ALWAYSWANNAFLY:gs,Alliance,Nikobaby:jug,Limmp:dk,s4:ds,Handsken:cw,fng:ora,0,
79,5men,Ace:lun,Chessie:dp,Xibbe:bst,MISERY:puck,pieliedie:wl,Team Liquid,miCKe:spe,qojqva:doom,Boxi:pan,Taiga:sd,iNSaNiA:rub,0,
80,5men,Ace:aw,Chessie:np,Xibbe:lc,MISERY:sk,pieliedie:io,Team Liquid,miCKe:fv,qojqva:inv,Boxi:doom,Taiga:na,iNSaNiA:aa,0,
81,Virtus.pro,iLTW:tb,Noone:np,Resolut1on:bst,Zayac:sk,Solo:sd,Team Liquid,miCKe:fv,qojqva:sto,Boxi:puck,Taiga:tin,iNSaNiA:wl,1,
82,Virtus.pro,iLTW:fv,Noone:qop,Resolut1on:phx,Zayac:esp,Solo:sd,Team Liquid,miCKe:tin,qojqva:lyc,Boxi:vsp,Taiga:eni,iNSaNiA:io,0,
83,Virtus.pro,iLTW:emb,Noone:morp,Resolut1on:ds,Zayac:es,Solo:sd,Team Liquid,miCKe:lesh,qojqva:ld,Boxi:vsp,Taiga:eni,iNSaNiA:ora,0,
84,Vikin.gg,Shad’:dr,BOOM:tin,Tobi:bst,mars:rub,Seleri:ench,Alliance,Nikobaby:sv,Limmp:dp,s4:veno,Handsken:esp,fng:jak,0,
85,Vikin.gg,Shad’:jug,BOOM:tin,Tobi:mag,mars:sd,Seleri:vs,Alliance,Nikobaby:fv,Limmp:tim,s4:bs,Handsken:rub,fng:jak,0,
86,Team Nigma,Miracle-:morp,w33:wr,MinD_ContRoL:ds,GH:rub,rmN-:cw,OG,MidOne:sv,Topson:tin,Ceb:sk,Saksa:dw,Notail:io,0,
87,Team Nigma,Miracle-:aw,w33:tide,MinD_ContRoL:sk,GH:rub,rmN-:tp,OG,MidOne:lun,Topson:vsp,Ceb:bst,Saksa:et,Notail:vs,0,
88,Evil Geniuses,Arteezy:naga,gpk:emb,RAMZES666:np,Cr1t-:tin,Fly:ww,Team Secret,MATUMBAMAN:ls,Nisha:lesh,zai:bs,YapzOr:cw,Puppey:chen,0,
89,Team Secret,MATUMBAMAN:ld,Nisha:morp,zai:mars,YapzOr:phx,Puppey:aa,Evil Geniuses,Arteezy:gyro,gpk:emb,RAMZES666:ul,Cr1t-:io,Fly:rub,1,
90,Team Nigma,Miracle-:aw,w33:vsp,MinD_ContRoL:bs,GH:rub,rmN-:ud,Team Liquid,miCKe:spe,qojqva:zeus,Boxi:ds,Taiga:tin,iNSaNiA:phx,1,
91,Team Nigma,Miracle-:med,w33:vsp,MinD_ContRoL:np,GH:et,rmN-:vs,Team Liquid,miCKe:tin,qojqva:dp,Boxi:lesh,Taiga:phx,iNSaNiA:ora,1,
92,Evil Geniuses,Arteezy:tb,gpk:vsp,RAMZES666:lc,Cr1t-:tin,Fly:wl,Alliance,Nikobaby:tw,Limmp:lesh,s4:aba,Handsken:rub,fng:jak,0,
93,Evil Geniuses,Arteezy:fv,gpk:inv,RAMZES666:aba,Cr1t-:esp,Fly:ench,Alliance,Nikobaby:sv,Limmp:tin,s4:axe,Handsken:phx,fng:jak,1,
94,Evil Geniuses,Arteezy:spe,gpk:sto,RAMZES666:sk,Cr1t-:esp,Fly:wd,Alliance,Nikobaby:jug,Limmp:qop,s4:ds,Handsken:tusk,fng:rub,0,
95,Alliance,Nikobaby:morp,Limmp:sto,s4:np,Handsken:chen,fng:vs,Team Nigma,Miracle-:aw,w33:nec,MinD_ContRoL:dk,GH:phx,rmN-:ud,0,
96,Team Nigma,Miracle-:med,w33:bs,MinD_ContRoL:bst,GH:phx,rmN-:vs,Alliance,Nikobaby:am,Limmp:pug,s4:doom,Handsken:wr,fng:wl,1,
97,Team Secret,MATUMBAMAN:ls,Nisha:vsp,zai:kunk,YapzOr:rub,Puppey:aba,OG,MidOne:pa,Topson:inv,Ceb:bst,Saksa:phx,Notail:mag,0,
98,Team Secret,MATUMBAMAN:np,Nisha:ta,zai:mars,YapzOr:phx,Puppey:sd,OG,MidOne:morp,Topson:inv,Ceb:ul,Saksa:dw,Notail:et,1,
99,Team Secret,MATUMBAMAN:tw,Nisha:vsp,zai:et,YapzOr:wr,Puppey:chen,OG,MidOne:lun,Topson:mk,Ceb:na,Saksa:rub,Notail:vs,1,
100,Team Nigma,Miracle-:tb,w33:vipe,MinD_ContRoL:sk,GH:phx,rmN-:dis,OG,MidOne:sv,Topson:wr,Ceb:np,Saksa:es,Notail:mag,0,
101,Team Nigma,Miracle-:slk,w33:tim,MinD_ContRoL:mag,GH:rub,rmN-:vs,OG,MidOne:mk,Topson:tin,Ceb:et,Saksa:phx,Notail:tp,0,
102,Team Secret,MATUMBAMAN:fv,Nisha:kunk,zai:ul,YapzOr:sk,Puppey:aa,OG,MidOne:sv,Topson:pug,Ceb:ns,Saksa:dw,Notail:io,1,
103,Team Secret,MATUMBAMAN:ls,Nisha:od,zai:bs,YapzOr:esp,Puppey:ench,OG,MidOne:tw,Topson:tin,Ceb:omni,Saksa:gs,Notail:tusk,1,
104,Team Secret,MATUMBAMAN:ld,Nisha:emb,zai:np,YapzOr:esp,Puppey:bane,OG,MidOne:fv,Topson:sv,Ceb:wr,Saksa:tin,Notail:aba,1,
105,FlyToMoon,V-Tune:morp,Iceberg:kunk,GeneRaL:bat,RodjER:es,ALWAYSWANNAFLY:ora,5men,Ace:spe,Chessie:tin,Xibbe:puck,MISERY:wr,pieliedie:ench,1,
106,FlyToMoon,V-Tune:morp,Iceberg:np,GeneRaL:vsp,RodjER:wr,ALWAYSWANNAFLY:vs,5men,Ace:aw,Chessie:puck,Xibbe:mars,MISERY:phx,pieliedie:ench,1,
107,Ninjas in Pyjamas,CharlieDota:fv,Supream^:np,SabeRLight-:ul,Era:phx,Misha:lich,Vikin.gg,Shad’:wk,BOOM:emb,Tobi:bs,mars:tin,Seleri:snf,1,
108,Ninjas in Pyjamas,CharlieDota:sv,Supream^:vsp,SabeRLight-:bst,Era:rub,Misha:io,Vikin.gg,Shad’:spe,BOOM:tin,Tobi:slk,mars:ww,Seleri:snf,0,
109,5men,Ace:dr,Chessie:tin,Xibbe:tim,MISERY:lin,pieliedie:ora,Vikin.gg,Shad’:ls,BOOM:vsp,Tobi:ul,mars:cw,Seleri:snf,1,
110,5men,Ace:jug,Chessie:tin,Xibbe:mars,MISERY:lin,pieliedie:gs,Vikin.gg,Shad’:med,BOOM:qop,Tobi:phx,mars:sb,Seleri:vs,1,
111,FlyToMoon,V-Tune:aw,Iceberg:sto,GeneRaL:pan,RodjER:esp,ALWAYSWANNAFLY:vs,Ninjas in Pyjamas,CharlieDota:tb,Supream^:inv,SabeRLight-:ds,Era:tin,Misha:ench,0,
112,FlyToMoon,V-Tune:slk,Iceberg:doom,GeneRaL:pan,RodjER:wr,ALWAYSWANNAFLY:ora,Ninjas in Pyjamas,CharlieDota:ls,Supream^:lesh,SabeRLight-:ul,Era:rub,Misha:chen,1,
113,FlyToMoon,V-Tune:morp,Iceberg:doom,GeneRaL:vsp,RodjER:wr,ALWAYSWANNAFLY:ud,Ninjas in Pyjamas,CharlieDota:vs,Supream^:aw,SabeRLight-:et,Era:rub,Misha:aa,1,
114,5men,Ace:rik,Chessie:doom,Xibbe:mag,MISERY:lin,pieliedie:ench,Ninjas in Pyjamas,CharlieDota:ls,Supream^:vis,SabeRLight-:mars,Era:mir,Misha:bane,0,
115,5men,Ace:fv,Chessie:inv,Xibbe:mars,MISERY:rub,pieliedie:ench,Ninjas in Pyjamas,CharlieDota:doom,Supream^:vis,SabeRLight-:tide,Era:mir,Misha:gs,1,
116,5men,Ace:fv,Chessie:brew,Xibbe:bs,MISERY:esp,pieliedie:pug,Ninjas in Pyjamas,CharlieDota:ck,Supream^:emb,SabeRLight-:mars,Era:wr,Misha:sd,1,
